ingrediente
paraffinum liquidum
petrolatum
mineral oil
vaseline
ceresin
ozokerite
dimethicone
dimeticonol
polydimethylsiloxane
cyclopentasiloxane
cyclohexasiloxane
quaternium-80
amodimethicone
cyclomethicone
trimethylsiloxysilicate
methylchloroisothiazolinone
methylisothiazolinone
isobutyl paraben
butyl paraben
methyl paraben
propylparaben
benzyl paraben
ethyl paraben
sodium hydroxymethyl glycinate
bronopol
diazolidinyl urea
benzylhemiformal
imidazolidinyl urea
quaternium-15
dmdm hydantoin
butylated hydroxyanisole
butylated hydroxytoluene
triclosan
polyethylene glycol
dipolyhydroxystearate
peg6
peg20
peg75
peg-40 hydrogenated castor oil
propylene glycol
butylene glycol
polypropylene glycol
ethylene glycol
sodium lauryl sulfate
ammonium lauryl sulfate
tea-lauryl sulfate
magnesium laureth sulfate
mea laureth sulfate
sodium laureth sulfate
ammonium laureth sulfate
cocamide dea
oleamide dea
lauramide dea
cocamide tea
oleamide tea
lauramide tea
cocamide mea
oleamide mea
lauramide mea
linoleamide dea
myristamide dea
stearamide dea
dea-cethyl phosphate
dea-oleth-3 phosphate
thiethanoamine
zeolite
edta
hydroxyethylcellulose
2-bromo-2-nitropropane-1,3-diol
sodium fluoridis
c12-15 alkyl benzoate
disodium phenyl dibenzimidazole tetrasulfonate
amonium laureth sulfate
